file,id,target(de),target(en),target(es),target(fr),target(ja),target(ko),target(pt-BR),target(pt-PT),target(ru),target(th),target(zh-Hans),target(zh-Hant),note
AirwallexCore/Resources/en.lproj/Localizable.strings,CVC / CVV,CVC / CVV,CVC / CVV,CVC / CVV,CVC / CVV,CVC / CVV,CVC / CVV,CVC / CVV,CVC / CVV,CVC / CVV,CVC / CVV,CVC / CVV,CVC / CVV,CVC / CVV placeholder
AirwallexCore/Resources/en.lproj/Localizable.strings,City,Stadt,City,Ciudad,Ville,市区町村,도시,Cidade,Cidade,Город,เมือง,城市,城市,Shiping field placeholder - City
AirwallexCore/Resources/en.lproj/Localizable.strings,Close,Schließen,Close,Cerrar,Fermer,閉じる,닫기,Fechar,Fechar,Закрыть,ปิด,关闭,關閉,"close button for UIAlertController
close button for alert
close button on navigation bar"
AirwallexCore/Resources/en.lproj/Localizable.strings,Country / Region,Land / Region,Country / Region,País / Región,Pays / Région,国／地域,국가 / 지역,País / Região,País / Região,Страна / Регион,ประเทศ / ภูมิภาค,国家/地区,國家／地區,Shiping field placeholder - Country / Region
AirwallexCore/Resources/en.lproj/Localizable.strings,Email (optional),E-Mail (optional),Email (optional),Correo electrónico (opcional),E-mail (optionnel),メールアドレス（任意）,이메일(선택 사항),E-mail (opcional),E-mail (opcional),Электронная почта (необязательно),อีเมล (ไม่จำเป็น),电子邮件（可选）,電子郵件（選填）,Shiping field placeholder - Email (optional)
AirwallexCore/Resources/en.lproj/Localizable.strings,"Enter CVC/CVV for
%@","CVC/CVV für
%@ eingeben","Enter CVC/CVV for
%@","Introduce el CVC/CVV para
%@","Saisissez le CVC/CVV pour
%@",%@のCVC/CVVを入力してください,%@의 CVC/CVV를 입력하세요,"Digite o CVC/CVV para
%@","Introduza o CVC/CVV para
%@","Введите CVC/CVV для
%@","กรอก CVC/CVV สำหรับ
%@",请输入%@的CVC/CVV,請輸入%@的CVC/CVV,No comment provided by engineer.
AirwallexCore/Resources/en.lproj/Localizable.strings,First name,Vorname,First name,Nombre,Prénom,名,이름,Nome,Nome,Имя,ชื่อ,名字,名字,Shiping field placeholder - First Name
AirwallexCore/Resources/en.lproj/Localizable.strings,Free,Kostenlos,Free,Gratis,Gratuit,無料,무료,Gratuito,Grátis,Бесплатно,ฟรี,免费,免費,string description when decimal number is zero
AirwallexCore/Resources/en.lproj/Localizable.strings,Last name,Nachname,Last name,Apellido,Nom,姓,성,Sobrenome,Apelido,Фамилия,นามสกุล,姓氏,姓氏,Shiping field placeholder - Last Name
AirwallexCore/Resources/en.lproj/Localizable.strings,Pay now,Jetzt bezahlen,Pay now,Pagar ahora,Payer maintenant,今すぐ支払う,지금 결제,Pagar agora,Pagar agora,Оплатить сейчас,ชำระเงินตอนนี้,立即支付,立即付款,Pay now - pay button
